ss=75,ss_vec=[ 2, 1, 1, 2, 1, 2, 1, ], ss_back=75
ss=76,ss_vec=[ 2, 1, 1, 2, 1, 2, 2, ], ss_back=76
ss=77,ss_vec=[ 2, 1, 1, 2, 2, 1, 1, ], ss_back=77
ss=78,ss_vec=[ 2, 1, 1, 2, 2, 1, 2, ], ss_back=78
ss=79,ss_vec=[ 2, 1, 1, 2, 2, 2, 1, ], ss_back=79
ss=80,ss_vec=[ 2, 1, 1, 2, 2, 2, 2, ], ss_back=80
ss=81,ss_vec=[ 2, 1, 2, 1, 1, 1, 1, ], ss_back=81
ss=82,ss_vec=[ 2, 1, 2, 1, 1, 1, 2, ], ss_back=82
ss=83,ss_vec=[ 2, 1, 2, 1, 1, 2, 1, ], ss_back=83
ss=84,ss_vec=[ 2, 1, 2, 1, 1, 2, 2, ], ss_back=84
ss=85,ss_vec=[ 2, 1, 2, 1, 2, 1, 1, ], ss_back=85
ss=86,ss_vec=[ 2, 1, 2, 1, 2, 1, 2, ], ss_back=86
ss=87,ss_vec=[ 2, 1, 2, 1, 2, 2, 1, ], ss_back=87
ss=88,ss_vec=[ 2, 1, 2, 1, 2, 2, 2, ], ss_back=88
ss=89,ss_vec=[ 2, 1, 2, 2, 1, 1, 1, ], ss_back=89
ss=90,ss_vec=[ 2, 1, 2, 2, 1, 1, 2, ], ss_back=90
ss=91,ss_vec=[ 2, 1, 2, 2, 1, 2, 1, ], ss_back=91
ss=92,ss_vec=[ 2, 1, 2, 2, 1, 2, 2, ], ss_back=92
ss=93,ss_vec=[ 2, 1, 2, 2, 2, 1, 1, ], ss_back=93
ss=94,ss_vec=[ 2, 1, 2, 2, 2, 1, 2, ], ss_back=94
ss=95,ss_vec=[ 2, 1, 2, 2, 2, 2, 1, ], ss_back=95
ss=96,ss_vec=[ 2, 1, 2, 2, 2, 2, 2, ], ss_back=96
ss=97,ss_vec=[ 2, 2, 1, 1, 1, 1, 1, ], ss_back=97
ss=98,ss_vec=[ 2, 2, 1, 1, 1, 1, 2, ], ss_back=98
ss=99,ss_vec=[ 2, 2, 1, 1, 1, 2, 1, ], ss_back=99
ss=100,ss_vec=[ 2, 2, 1, 1, 1, 2, 2, ], ss_back=100
ss=101,ss_vec=[ 2, 2, 1, 1, 2, 1, 1, ], ss_back=101
ss=102,ss_vec=[ 2, 2, 1, 1, 2, 1, 2, ], ss_back=102
ss=103,ss_vec=[ 2, 2, 1, 1, 2, 2, 1, ], ss_back=103
ss=104,ss_vec=[ 2, 2, 1, 1, 2, 2, 2, ], ss_back=104
ss=105,ss_vec=[ 2, 2, 1, 2, 1, 1, 1, ], ss_back=105
